# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 7.510260275012115017e-06 1.006293164062500000e+04 4.543063354492187500e+02 7.743795322312507778e-06 1.006293164062500000e+04 4.543063354492187500e+02
1.000000000000000000e+03 1.471928680985001847e-05 7.085731933593750000e+03 2.680444335937500000e+01 1.396810694132000208e-05 7.085731933593750000e+03 2.680444335937500000e+01
2.000000000000000000e+03 3.703040420077741146e-06 5.087225585937500000e+03 5.890501785278320312e+01 3.436089173192158341e-06 5.087225585937500000e+03 5.890501785278320312e+01
3.000000000000000000e+03 1.994273134187096730e-06 3.570340332031250000e+03 3.704658813476562500e+02 1.829116058615909424e-06 3.570340332031250000e+03 3.704658813476562500e+02
4.000000000000000000e+03 7.006892133176734205e-07 2.549258300781250000e+03 8.128034057617187500e+02 6.362267299664381426e-07 2.549258300781250000e+03 8.128034057617187500e+02
5.000000000000000000e+03 4.337736640991352033e-07 1.942169189453125000e+03 1.220094726562500000e+03 3.911203521056449972e-07 1.942169189453125000e+03 1.220094726562500000e+03
6.000000000000000000e+03 3.767036957924574381e-07 1.652459716796875000e+03 1.470679077148437500e+03 3.374289860857970780e-07 1.652459716796875000e+03 1.470679077148437500e+03
7.000000000000000000e+03 4.732874572255241219e-07 1.569637207031250000e+03 1.550878173828125000e+03 4.204192407541995635e-07 1.569637207031250000e+03 1.550878173828125000e+03
8.000000000000000000e+03 3.091408643740578555e-06 1.560504882812500000e+03 1.559933959960937500e+03 2.712662080739391968e-06 1.560504882812500000e+03 1.559933959960937500e+03
9.000000000000000000e+03 2.984713363647460938e+01 6.298886718750000000e+02 6.687961578369140625e+01 1.954398345947265625e+01 6.298886718750000000e+02 6.687961578369140625e+01
1.000000000000000000e+04 1.020407390594482422e+01 1.948549041748046875e+02 7.068767547607421875e+01 4.977158069610595703e+00 1.948549041748046875e+02 7.068767547607421875e+01
1.100000000000000000e+04 5.853981494903564453e+00 1.154713592529296875e+02 7.777886962890625000e+01 3.456208229064941406e+00 1.154713592529296875e+02 7.777886962890625000e+01
1.200000000000000000e+04 5.514906406402587891e+00 1.059776153564453125e+02 6.900347137451171875e+01 3.560352325439453125e+00 1.059776153564453125e+02 6.900347137451171875e+01
1.300000000000000000e+04 6.063867092132568359e+00 1.027436294555664062e+02 6.170789718627929688e+01 3.967531204223632812e+00 1.027436294555664062e+02 6.170789718627929688e+01
1.400000000000000000e+04 6.893981933593750000e+00 9.868066406250000000e+01 5.475333786010742188e+01 4.570504665374755859e+00 9.868066406250000000e+01 5.475333786010742188e+01
1.500000000000000000e+04 6.754281997680664062e+00 9.206913757324218750e+01 4.493273925781250000e+01 4.500374794006347656e+00 9.206913757324218750e+01 4.493273925781250000e+01
